iter	Logloss
0	0.5073251566
1	0.3975351032
2	0.3294142053
3	0.2889082708
4	0.2635546384
5	0.2492465477
6	0.2372959398
7	0.2286100094
8	0.2219420449
9	0.2175250764
10	0.2132344167
11	0.2100981945
12	0.2089279031
13	0.2060100114
14	0.2020507163
15	0.2007459095
16	0.1988278292
17	0.1979616134
18	0.196599036
19	0.1937192011
20	0.1913176552
21	0.1895042041
22	0.1860468438
23	0.1845715931
24	0.1830085231
25	0.1822669568
26	0.1813072042
27	0.1802039902
28	0.179855509
29	0.1776475478
30	0.1767607524
31	0.1760611748
32	0.1747275819
33	0.1743443266
34	0.1739221848
35	0.1723590247
36	0.1700868539
37	0.1676438965
38	0.1676101143
39	0.1667412291
40	0.1652719123
41	0.1646919701
42	0.1630240186
43	0.1616572748
44	0.1604364995
45	0.159747365
46	0.1593009462
47	0.1583851302
48	0.1568507562
49	0.1555655549
50	0.1544271699
51	0.1535081074
52	0.1521072207
53	0.1514547181
54	0.1502095667
55	0.149352351
56	0.1480560483
57	0.147598483
58	0.1464656172
59	0.1458070002
60	0.145169062
61	0.1445441009
62	0.1442633645
63	0.1437216143
64	0.1436293852
65	0.1429637702
66	0.1419562121
67	0.1408176197
68	0.1403996172
69	0.1402670317
70	0.1394044953
71	0.1377801467
72	0.1371727982
73	0.1360975766
74	0.1354622897
75	0.134923732
76	0.1333334181
77	0.1324439263
78	0.1321060505
79	0.1316905461
80	0.129725481
81	0.1290764775
82	0.1287505328
83	0.1282421861
84	0.1276829496
85	0.1269768789
86	0.1269433312
87	0.1261152083
88	0.1260215813
89	0.1252852816
90	0.1242037834
91	0.12314897
92	0.123061241
93	0.1227790165
94	0.1219723929
95	0.1209264264
96	0.1208731198
97	0.1202937999
98	0.1201097385
99	0.1193369241
100	0.1191713049
101	0.1190721318
102	0.1189351273
103	0.1189017239
104	0.1186949277
105	0.1186491152
106	0.1184171943
107	0.1176218705
108	0.1170291224
109	0.1160805704
110	0.1159785927
111	0.1153220138
112	0.1142839653
113	0.1142573796
114	0.1129847948
115	0.1125598754
116	0.111455011
117	0.1110049399
118	0.110817677
119	0.1107154648
120	0.1103177803
121	0.1102925113
122	0.1102401246
123	0.1102258037
124	0.1095867563
125	0.1093446898
126	0.1089157934
127	0.1083164711
128	0.1082826258
129	0.108164776
130	0.107923413
131	0.1076758996
132	0.1068064191
133	0.1062345753
134	0.1061400646
135	0.1052131022
136	0.1050263894
137	0.1050195356
138	0.104728356
139	0.1046948444
140	0.1033396259
141	0.1026864559
142	0.1023236539
143	0.1021354711
144	0.1020958722
145	0.1018141708
146	0.1016441327
147	0.1016386947
148	0.1013829567
149	0.1013028481
150	0.1011349293
151	0.1009356812
152	0.1008844939
153	0.1003753085
154	0.1000496253
155	0.0998698566
156	0.09907618313
157	0.09894320982
158	0.09868820227
159	0.09822316091
160	0.0981177923
161	0.09776643433
162	0.09728269825
163	0.0970176805
164	0.09673071246
165	0.09666733257
166	0.09642443646
167	0.09629057034
168	0.09575564698
169	0.09529645843
170	0.09462897659
171	0.0943787577
172	0.09423594554
173	0.09377133705
174	0.09347120244
175	0.09317997781
176	0.09312693278
177	0.09302656025
178	0.09282541839
179	0.09280354926
180	0.09273377547
181	0.09180428796
182	0.09092201071
183	0.09032912739
184	0.08968919614
185	0.08893754747
186	0.08893286703
187	0.08892426367
188	0.08823697787
189	0.0876179508
190	0.08683788579
191	0.08671956705
192	0.0864582648
193	0.08570709409
194	0.08535898267
195	0.08468160787
196	0.08423708291
197	0.08414029962
198	0.08407392569
199	0.08373099974
